contract_verified,is_proxy,dangerous_function_count,top_lp_holder_pct,creator_controls_liquidity,mint_count,large_mint_detected,ownership_renounced,honeypot_signal_count,honeypot_risk_encoded,risk_score,contract_risk_score,honeypot_risk_score,event_risk_score,liquidity_risk_score,address,name,label
1,0,4,100.38,0,4,1,0,0,0,83,33,0,30,20,0x09a3EcAFa817268f77BE1283176B946C4ff2E608,MIR_FAKE,scam
1,0,1,345.0,0,2,1,0,0,0,55,15,0,20,20,0x0bc529c00C6401aEF6D220BE8C6Ea1667F6Ad93e,YFI,safe
1,0,4,1757.56,0,1,1,1,0,0,68,33,0,20,20,0x111111111117dC0aa78b770fA6A738034120C302,1INCH,safe
1,0,2,5.03,0,1,1,0,0,0,35,15,0,20,0,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,UNI,safe
1,0,4,35.31,0,7,0,0,0,0,43,33,0,10,0,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,WBTC,safe
1,0,2,0,0,1,1,0,0,0,55,15,0,20,20,0x29127fE04ffa4c32AcAC0fFe17280ABD74eAC313,INUBIS,scam
0,0,0,0,0,0,0,0,0,1,45,20,0,0,20,0x34BA3af693d6c776d73C7fa67e2B2e79be8ef4ED,SAFEMOON_ETH,scam
1,0,3,1198.37,0,1,1,0,0,0,65,25,0,20,20,0x35bD01FC9d6D5D81CA9E055Db88Dc49aa2c699A8,FWB_FAKE,scam
1,0,2,214.58,0,1,1,0,0,0,55,15,0,20,20,0x3845badAde8e6dFF049820680d1F14bD3903a5d0,SAND_FAKE,scam
1,0,2,47875.86,0,1,1,0,0,0,55,15,0,20,20,0x491604c0FDF08347Dd1fa4Ee062a822A5DD06B5D,CTSI_FAKE,scam
1,0,2,539.09,0,96,1,0,0,0,65,15,0,30,20,0x4a220E6096B25EADb88358cb44068A3248254675,QNT_FAKE,scam
1,0,3,960.56,0,1,1,0,0,0,65,25,0,20,20,0x4d224452801ACEd8B2F0aebE155379bb5D594381,APE,safe
1,0,3,308704.23,0,100,0,0,0,0,53,23,0,10,20,0x4E15361FD6b4BB609Fa63C81A2be19d873717870,FTM_FAKE,scam
1,0,1,15.81,0,0,0,0,0,0,15,15,0,0,0,0x514910771AF9Ca656af840dff83E8264EcF986CA,LINK,safe
1,0,1,10094.14,0,3,1,0,0,0,65,15,0,30,20,0x5A98FcBEA516Cf06857215779Fd812CA3beF1B32,LDO,safe
1,0,1,0,0,0,0,0,0,0,35,15,0,0,20,0x5B2e4a700dfBc560061e957edec8F6EeEB74a320,METAVERSE_RUG,scam
0,0,0,0,0,0,0,0,0,1,45,20,0,0,20,0x6368e1E18d4C7a7f04b8E4F27386b194EE58bE7d,VOLT_SCAM,scam
1,0,0,51347.09,0,11,1,0,0,0,50,0,0,30,20,0x6810e776880C02933D47DB1b9fc05908e5386b96,GNO,safe
1,0,1,3.38,0,85,0,0,0,0,25,15,0,10,0,0x6B175474E89094C44Da98b954EedeAC495271d0F,DAI,safe
